metadata.vaccinationRound,state.name,state.ID,district.name,district.ID,totalVaccinations.count,farmersBenefited.count
1,Assam,state_18,Kamrup,district_291,53152,20979
1,Assam,state_18,Sivasagar,district_300,43539,10488
1,Assam,state_18,Dhemaji,district_284,38582,8994
1,Assam,state_18,Barpeta,district_280,38228,24318
1,Assam,state_18,Nalbari,district_298,36082,16210
1,Assam,state_18,Lakhimpur,district_295,35165,10905
1,Assam,state_18,Sonitpur,district_301,34948,8141
1,Assam,state_18,Dibrugarh,district_286,32789,8564
1,Assam,state_18,Marigaon,district_296,28610,6945
1,Assam,state_18,Bongaigaon,district_281,26675,10434
1,Assam,state_18,Karbi Anglong,district_292,22866,7503
1,Assam,state_18,Hojai,district_709,20648,10065
1,Assam,state_18,Goalpara,district_287,19932,7740
1,Assam,state_18,Kokrajhar,district_294,19674,5761
1,Assam,state_18,Biswanath,district_705,18946,5704
1,Assam,state_18,Golaghat,district_288,17617,5811
1,Assam,state_18,Kamrup Metro,district_618,13984,3930
1,Assam,state_18,Charaideo,district_708,12514,2380
1,Assam,state_18,Tinsukia,district_302,12485,3164
1,Assam,state_18,Udalguri,district_617,11588,4021
1,Assam,state_18,Baksa,district_616,9394,3825
1,Assam,state_18,Dhubri,district_285,9027,2222
1,Assam,state_18,West Karbi Anglong,district_710,7538,2479
1,Assam,state_18,Majuli,district_706,7418,2085
1,Assam,state_18,Bajali,district_739,7204,3393
1,Assam,state_18,Hailakandi,district_289,6200,2978
1,Assam,state_18,Nagaon,district_297,5829,2207
1,Assam,state_18,South Salmara Mancachar,district_707,4552,2071
1,Assam,state_18,Cachar,district_282,4267,1770
1,Assam,state_18,Tamulpur,district_756,3351,1312
1,Assam,state_18,Karimganj,district_293,2717,1059
1,Assam,state_18,Chirang,district_612,1564,518
1,Assam,state_18,Dima Hasao,district_299,1103,201
1,Assam,state_18,Jorhat,district_290,6,6
2,Assam,state_18,Barpeta,district_280,491761,71623
2,Assam,state_18,Lakhimpur,district_295,403102,30097
2,Assam,state_18,Nagaon,district_297,377197,38573
2,Assam,state_18,Kamrup,district_291,376217,48515
2,Assam,state_18,Goalpara,district_287,307393,41951
2,Assam,state_18,Darrang,district_283,305174,21006
2,Assam,state_18,Sonitpur,district_301,296570,13362
2,Assam,state_18,Dibrugarh,district_286,283496,24705
2,Assam,state_18,Biswanath,district_705,279950,20756
2,Assam,state_18,Dhemaji,district_284,262813,11750
2,Assam,state_18,Marigaon,district_296,261088,28138
2,Assam,state_18,Baksa,district_616,247996,17656
2,Assam,state_18,Karimganj,district_293,246350,19467
2,Assam,state_18,Dhubri,district_285,245132,28387
2,Assam,state_18,Hojai,district_709,238904,27404
2,Assam,state_18,Cachar,district_282,237332,26920
2,Assam,state_18,Bongaigaon,district_281,233601,24824
2,Assam,state_18,Nalbari,district_298,225259,39331
2,Assam,state_18,Kokrajhar,district_294,222613,23855
2,Assam,state_18,Jorhat,district_290,221256,36302
2,Assam,state_18,Sivasagar,district_300,215766,19103
2,Assam,state_18,Karbi Anglong,district_292,201538,22131
2,Assam,state_18,Tinsukia,district_302,197165,16662
2,Assam,state_18,Golaghat,district_288,187691,20433
2,Assam,state_18,Udalguri,district_617,165878,9496
2,Assam,state_18,Majuli,district_706,119764,12517
2,Assam,state_18,Hailakandi,district_289,117179,24353
2,Assam,state_18,Chirang,district_612,102017,4414
2,Assam,state_18,Kamrup Metro,district_618,86422,5892
2,Assam,state_18,Charaideo,district_708,54640,10449
2,Assam,state_18,South Salmara Mancachar,district_707,48801,3798
2,Assam,state_18,West Karbi Anglong,district_710,43804,4014
2,Assam,state_18,Bajali,district_739,35323,16842
2,Assam,state_18,Dima Hasao,district_299,18379,519
2,Assam,state_18,Tamulpur,district_756,16569,6809
3,Assam,state_18,Dhubri,district_285,142609,59236
3,Assam,state_18,Dibrugarh,district_286,101839,19329
