regionID,regionName,parentID
district_23,SHIMLA,state_2
subdistrict_5582,KALABURAGI,district_538
subdistrict_5583,CHINCHOLI,district_538
district_24,SIRMAUR,state_2
subdistrict_5584,SEDAM,district_538
district_25,SOLAN,state_2
district_26,UNA,state_2
subdistrict_5585,CHITTAPUR,district_538
district_1,ANANTNAG,ut_1
subdistrict_5586,JEVARGI,district_538
district_623,BANDIPORA,ut_1
subdistrict_5587,SHORAPUR,district_635
subdistrict_5588,SHAHPUR,district_635
district_3,BARAMULLA,ut_1
subdistrict_5589,YADGIR,district_635
district_2,BUDGAM,ut_1
district_4,DODA,ut_1
subdistrict_5590,SRINIVASPUR,district_542
district_626,GANDERBAL,ut_1
subdistrict_5591,KOLAR,district_542
subdistrict_5592,MALUR,district_542
district_5,JAMMU,ut_1
district_7,KATHUA,ut_1
subdistrict_5593,BANGARAPET,district_542
district_620,KISHTWAR,ut_1
subdistrict_5594,MULBAGAL,district_542
subdistrict_5595,GAURIBIDANUR,district_630
district_622,KULGAM,ut_1
district_8,KUPWARA,ut_1
subdistrict_5596,CHIKKABALLAPURA,district_630
subdistrict_5597,GUDIBANDA,district_630
district_10,POONCH,ut_1
subdistrict_5598,BAGEPALLI,district_630
district_11,PULWAMA,ut_1
subdistrict_5599,SIDLAGHATTA,district_630
district_12,RAJOURI,ut_1
subdistrict_5600,CHINTAMANI,district_630
district_621,RAMBAN,ut_1
subdistrict_5601,NELAMANGALA,district_526
district_627,REASI,ut_1
district_624,SAMBA,ut_1
subdistrict_5602,DODDA BALLAPUR,district_526
district_625,SHOPIAN,ut_1
subdistrict_5603,DEVANAHALLI,district_526
district_13,SRINAGAR,ut_1
subdistrict_5604,HOSAKOTE,district_526
subdistrict_5605,MAGADI,district_631
district_467,AKOLA,state_27
subdistrict_5606,RAMANAGARA,district_631
district_14,UDHAMPUR,ut_1
district_322,BOKARO,state_20
subdistrict_5607,CHANNAPATNA,district_631
subdistrict_5608,KANAKAPURA,district_631
district_323,CHATRA,state_20
district_324,DEOGHAR,state_20
subdistrict_7002,KOLAR GOLD FIELD,district_542
subdistrict_7043,KITTUR,district_527
district_325,DHANBAD,state_20
district_326,DUMKA,state_20
subdistrict_7061,GULEDGUDDA,district_524
subdistrict_7062,ILKAL,district_524
district_327,EAST SINGHBUM,state_20
district_328,GARHWA,state_20
subdistrict_7063,RABAKAVI BANAHATTI,district_524
subdistrict_7064,DANDELI,district_550
district_329,GIRIDIH,state_20
district_330,GODDA,state_20
subdistrict_7065,HEBRI,district_549
district_331,GUMLA,state_20
subdistrict_7066,BAINDURU,district_549
subdistrict_7067,KAPU,district_549
district_332,HAZARIBAGH,state_20
subdistrict_7068,BRAHMAVARA,district_549
district_333,JAMTARA,state_20
district_606,KHUNTI,state_20
subdistrict_7069,BABALESHWAR,district_530
district_334,KODERMA,state_20
subdistrict_7070,CHADACHAN,district_530
district_335,LATEHAR,state_20
subdistrict_7071,DEVARA HIPPARAGI,district_530
subdistrict_7072,KOLHAR,district_530
district_336,LOHARDAGA,state_20
district_337,PAKUR,state_20
subdistrict_7073,TALIKOTI,district_530
district_338,PALAMU,state_20
subdistrict_7074,TIKOTA,district_530
subdistrict_7075,NIDAGUNDI,district_530
district_607,RAMGARH,state_20
district_339,RANCHI,state_20
subdistrict_7076,NYAMATHI,district_535
district_340,SAHEBGANJ,state_20
subdistrict_7077,HANUR,district_531
subdistrict_7078,AJJAMPURA,district_532
district_341,SARAIKELA KHARSAWAN,state_20
district_342,SIMDEGA,state_20
subdistrict_7079,HUBBALLI URBAN,district_536
district_343,WEST SINGHBHUM,state_20
subdistrict_7080,ANNIGERI,district_536
subdistrict_7081,ALNAVAR,district_536
subdistrict_7082,GAJENDRAGAD,district_537
